সন্ধ্যার নীল ধ্বনিতে বন্ধুত্বের নরম মর্মর আলো  
হৃদয়ের গভীরে নিশ্বাসে উষ্ণ সুর বদলায় কণ্ঠস্বর  
অচেনা পথে পথী হয়ে যদি তুমি কাছে  
বাঁক কাটে হাসি ঝরে মধুর স্পর্শে কণাতে  
বন্ধুত্ব তুমি, অমল মেঘের তরল ছোঁয়া খোঁয়ায়  

বৃষ্টির সপনে ছুটে আসা ছোটো পা নাচায়  
খুশির সুরে শেষহীন ভরে ওঠে ছন্দময় হৃদয়  
স্কুলের বারান্দায় গুপ্তহাসির গোপন স্বপ্ন রঙে রাঙায়  
হাতের স্পর্শে বোনা ছোট্ট প্রতিজ্ঞা উড়ে নিরন্তর  
বন্ধুত্বের আলপিন নয়নে আজো ভাসে মায়ার ছবি  

অন্ধকারে তুমি, মধুর জমকালো মোমবাতি স্থির জ্বেলে  
কথা হয় না, বোঝে মন সব নিঃশব্দে  
মধুর হাসির অন্তরালে লুকায়িত আন্তরিক শব্দ ছোঁয়া  
চোখের আর্দ্রতায় গড়ে ওঠে নির্ভরতার নীড়ের মা  
বন্ধুত্ব তুমি, চিরন্তন নীরব স্বপ্নের আশ্রয় অন্তরে  

দুঃখের ঢেউয়ে ভেসে ওঠে ব্যথার নিরঝর সুর  
তোমার হাতের তরে মুছে যায় আঁচিল বেদনা  
কষ্টের আঁধারে তুমি আলো মর্মর হয়ে জ্বলে  
ভাঙা স্বপ্ন ছিঁড়ে দিলেও নিয়ে যাও পূর্ণতা  
বন্ধুত্ব তুমি, নীরব হাতের অম্লান স্নিগ্ধ অনুগ্রহ  

রঙিন দিনে পাখির পলে বাজে হাসির কাব্য  
গানের সুরে ভেজে ওঠে দুরন্ত এক যাত্রা  
দুজনার পদচিহ্ন মিশে খুঁজে পায় অদম্য ঠিকানা  
নাচে সময়, থেমে যায় শীতল শান্ত তাপমাত্রা  
বন্ধুত্ব তুমি, রঙিন স্বপ্নের অম্লান উপাখ্যান প্রবাহ  

বর্ধমান হাতছানি ছুঁয়ে যায় দূরত্বের নমনীয় প্রাচীর  
শহুরে জীবন ভুলে মুড়ে ফেলে বেড়ায় মুখ  
শ্রাবণের সঙ্গীত বাজায় নদীর তুমুল অবিরাম প্রবাহ  
দিন বদলায়, স্মৃতির বইয়ে জ্বলজ্বল করে ছবি  
বন্ধুত্ব তুমি, অবিচ্ছিন্ন সেতুবন্ধন হৃদয়ে অমোঘ অম্লান  

বিমিষ হাওয়ায় ভেসে আসে পুরনো স্নিগ্ধ স্মৃতি  
কোকিলের ডাক যেন নিভৃতে আঙড়ে জড়ায় মূহূর্ত  
মুখের কোণে ফুটে ওঠে আবেগের নবারুণ লাবণ্য  
আবার বসে গল্পের নীল জলে চোখ ভিজে  
বন্ধুত্ব তুমি, মিলনের অমায়িক স্বপ্নদল গূঢ় উদয়  

শব্দবিহীন স্নিগ্ধ আলাপ বলে সমগভীর অমৃতের সাক্ষাৎ  
চোখের ভাষা খুঁজে পায় নীরব অমীমাংসিত কথা  
ম্লান স্মৃতির বাঁধন গলে ছাড়িয়ে দেয় একাত্ম  
নছড়ায় সময়, গড়ে ওঠে অদৃশ্য অম্লান বন্ধন  
বন্ধুত্ব তুমি, অন্তরের মধুর বিস্মৃত সুর অম্লান  

সময়ের স্রোতে হারায় মুখর স্মরণীর রেখা অক্ষয়  
কিন্তু বন্ধুত্বের অক্ষয় দ্যুতি জুড়ে থাকে চিরকাল  
নৈরাশ্যের ধাঁধায় আবদ্ধ সজীব আগুন ফুটে অপরিহার্য  
বন্ধুত্ব তুমি, হৃদয়ে অজস্র চিহ্ন অক্ষরে আঁকে  
অমল আত্মার অটুট মিলনবিন্দু চিরপ্রাণ অনন্ত অম্লান  

বন্ধুত্ব তুমি, অনন্ত পথে অমলিন আলোক প্রকাশ  
হৃদয়ের খাতা ভরে যায় মধুর নবীন অভিজ্ঞান  
প্রতিটি ধাপে বহে সিন্ধু সুরের অলীক এঁকেল  
দূর-নিয়তিরও বাঁধন ভেদে খুঁজে নেয় আশ্রয় নির্ঝর  
বন্ধুত্ব তুমি, সোনার আঁচলে বোনা চিরসাথী অমল
