আজও জেগে ওঠে মোর স্মৃতির সোনালি সকাল বেলার মিষ্টি ঝিকঝিকে আলো।  
চোখ বেয়ে বয়ে যায় হাসি শিশুর মন ছুঁয়ে চলে অন্তরে উচ্ছ্বাস।  
বৃক্ষতলে বসে কুঁড়েঘরে স্বপ্ন বোনা আমরা ছোট্ট নিঃস্ব হাতের উষ্ণ ছোঁয়ায়।  
শস্যক্ষেতর মাঝে দৌড়ে বেড়াতাম ছেয়ে ফেলে বুকের সব বেদনা চোখে হাসি।  

মৌমাছির গান শুনে জমিজমা হারাত বা ছিল ভোরের স্নিগ্ধ মৃদু কোমলতা?  
আমার হাতে ছিল খড়ি, ডায়েরিতে আঁকা অজানা রঙের শহর মায়াবী অক্ষর।  
মাটির দিঘি, জলের ঢেউ কূল ছাড়তে, আমারা ভেসে যাই বেহুদা হাসিতে।  
ঝরনার হু হু শব্দে সুর মেলাব পারি গভীর নিঃশ্বাসে ঝিমিয়ে ভরা।  

আমরা ছিলাম অদ্ভুত খোঁজে, আকাশের কোলে ভাজা মেঘ নাকি নিহিত স্বপ্ন?  
কালির ডাব পেছীতে চুমু খেয়ে এক খণ্ড গাঢ় নীল তৈরি করি।  
পাথরে কাঁচের মতো ঝলমল চোখ বেয়ে দেখা গোপন গল্প ছিল আমাদের।  
বাতাসে ভাসতে শিখে ফেলি আমিই পাখি নাকি পাখির ডানা নিস্তব্ধ বিশ্বাস?  

ডালপালায় নারকেল ঝাঁকে, হাসির রেশ আঁকড়ে থাকে সকাল অলস ঘুম প্রতিধ্বনি।  
বাতি নেভে ছায়া বাড়ে, মাটির পথ চায় কুঁড়েঘরের আলো নিরিবিলি স্বপ্নিল।  
মিশে গেছে হৃদয় মণি, শুনি পায়ে নূপুর ঝংকার, দৌঁড়ে চলি মাঠে।  
আমার নাম ছিল ধূলি, পিঠে মাখা সূর্যের ধোঁয়া অমল তুলে দামে।  

আমরা ভাবিনি রঙের বাইরে অচেনা পৃথিবীর কোন ঠিকানা আছে বিদীর্ণ নীরব।  
মায়ের ডানায় নিরাপত্তা, বাবার হাঁটে তালে তালে জীবনের গতি অটল আশা।  
আঁকিবুঁকি লিখে যাই পাতায়, সে অমায়িক গল্পই আজ জানে না কেউ।  
প্রতিটি সন্ধ্যে ধরা ছোঁয়া জাদু, চুমোয় মিশে যায় দিনের মিষ্টি স্বাদ।  

রাজমিস্ত্রির কাজের মতোই, আমরা আঁকতাম অবাধ উদার লাইন, ঢেউ, বাঁকা পথ।  
টিপটিপ স্তব্ধতা ভেঙে দেয় লাফিয়ে ওঠা ধুলো কণিকা নিঃসঙ্গতা নীরবতা ঊর্মি।  
ঢেউ তুলে আনে চিৎকার, আমরা ছিলাম ছোট্ট অপ্রতিরোধ্য আবেগী ঘূর্ণিঝড় ভরা।  
রাত্রির নীরবতায় মাথা রাখি দিদির কোলে, শান্তি পাই বিন্দুতে নিমেষে অবিচল।  

কাদামাটি সারি সারি, উচ্ছাসে বানাই মায়াময় ম্লান রঙ্গীন স্মৃতি ঘুড়ির বাসা।  
বৃষ্টির ছোঁয়া মাখি গড়ায় ধানক্ষেতে, মূর্ত হয়ে ওঠে বিখ্যাত নকশা ছবি।  
মাটির ঘরানার কাঠি দিয়ে বাজি ফোটাই, আলোয় ফেটে পড়ে উদ্ভাসিত হাসি।  
আমরা ছিলাম নদীর স্বপ্ন, বয়ে আনি সুরের মিছিল ছোটখাট পদে সুশোভিত।  

কিন্তু সময় চলে এল নীরব গতি, ছোঁয়ে যায় আমরা শিশুর প্রান্তর।  
রঙ ধূসর হয় চোখে, মধুর স্মৃতিতে বাঁচে অন্তরীণ ক্লান্ত এক আশা।  
কাদামাটির গন্ধে মিশে আছে সেই ক্ষণ, ফিরে যেতে চাই অচেনা পথে।  
বেলায় মা ডাকে নাম ধরে, সে মধুর স্বর ফেলে নিঃস্ব করিডোরে।
