মানবতা, মনুষ্যত্বের দীপ, অম্লান আলো জ্বেলে অন্ধকারে পথ দেখায় চিরতরে অবিচল বিশ্বে  
সহানুভূতির সুরে বাঁধা হৃদয়, করুণা ছড়িয়ে যন্ত্রণা-মুক্ত করে বিপন্ন মানুষের ব্যথা গভীর সহজে  
ক্ষুধার অন্ধকারে আলোর দীপ জ্বেলে, নীরব মনের পঙ্গু পথিকের চলার সাহস যোগায়  
সহবাসে মিশে যায় ভেদাভেদ, অভিন্ন হৃদয়ে গড়ে ওঠে কালজয়ী মানবিকতা মহত্তর অশ্লেষ  

করুণার স্পর্শে বিন্দু বিন্দুতে ফুটে ওঠে আমানুষ্যতা ভেঙে মানবতার অক্ষয় অমৃত গান  
দুর্যোগে, দুঃসময়ে কাঁধে কাঁধ মিলিয়ে বাঁচায় নিঃস্বার্থ প্রাণের অমলিন আলিঙ্গন অপ্রমিত ভালোবাসা  
ভাসমান ছেঁড়া দিনগুলোকে গাঁথবে নতুন আশার সূতায়, রাঙিয়ে তুলবে জীবনের রূপ তেজে  
মানবতার মঞ্চে সাবলীল নৃত্যে মিলেমিশে বাজুক একতার সুর অবিরাম সর্বজীবন আত্মার সারথী  

ভাষা, জাতি, ধর্ম, বর্ণের বেষ্টনী ভেঙে মানবতার বুকে এক অমল প্রেমবীজ বপণ  
সহনশীলতার বালুকার ঢেউয়ে ভেসে আসুক উদারতার সরল স্বচ্ছ অম্লান প্রতিচ্ছবি নিশ্ছিদ্র আলো  
অনুভূতির সেতুবন্ধন গড়ি, অচেনা হৃদয় ছুঁয়ে দেই আলাদা উজ্জ্বল সুখের অমলিন ছোঁয়া  
ক্ষমা আর মায়ার সুধা দিয়ে সিক্ত করো তরল জীবনধারা, অমলিন অমৃত ঝরাবে  

সেবা, দান, ত্যাগের মহাসমুদ্রে প্লাবিত করো সব স্বার্থের সৈকত, তুলো অহর্নিশ নিঃস্ব  
একতাবদ্ধ চেতনায় পাকাট্যাগিনী হয়ে লড়ো নিপীড়ন, অবিচার বিরুদ্ধ অচলিত ভেগে যেতে ইচ্ছাশক্তি  
শত বছরের ঘোর অবহেলাতে ভেঙে না পড়ে মানবিকতা, দাঁড়ায় প্রাণে অমোঘ প্রদক্ষিণ  
বিধ্বস্ত আশা-মৃত্তিকায় মানবতার নবীন বীজ ফলিয়ে দাও সুখের অপারাজেয় বাগান সজীব যশস্বী  

প্রতিটি হাঁসিতে লুকিয়ে আছে মানবতা, অচেতন চোখে পড়ে না প্রকাশে নিভৃত মিষ্টি  
দারিদ্র্যে অসহায় মায়ের চোখে জল মুছে দিলে জীবনের হালকা মর্যাদা ফেরে নির্ভেজাল  
শীতের কেটে দেওয়া কাঁপন থামিয়ে, আলিমনায় আত্মার উষ্ণতা পৌঁছায় ধীরে অমলেশী নিভৃত  
মানুষের পাশে দাঁড়ালে পৃথিবী হয় অতি সৌম্য, পূর্ণ হয় আরাধনা নবজাগরিত স্তব্ধ  

আকাশের রঙ ধার স্নিগ্ধ পৃথিবী, মানবতা লিখে রেখেছে সবার মাঝে নিশ্ছিদ্র অনবদ্য  
বাঁধন ছিঁড়ে মুক্ত পাখির মতো উড়ে চলুন একে অপরের স্বপ্নপথে অতলান্ত মধুর  
মিলনের স্পন্দনে গ্রহের নক্ষত্রও দীপ্তিময় হা করে তাকায় অদ্ভুত স্বর্গীয় বিস্ময়ে অনাদম্য  
মানবতা তাই চিরন্তন, সীমা ছাড়িয়ে জুড়ি ছড়ায় আশার সেতু অমোঘ নিশ্ছিদ্র চিরনবীন  

হাসিমুখে যারাতি ব্যস্ত মানুষের মধ্যেও লুকিয়ে মানবতার অসামান্য অন্তর্দীপ্ত দীপ্তি প্রকাশায় অবলোকন  
সহজ ছোঁয়ায় নীরবতাকে শিহরিত করে বোধ করো হৃদয়ে একে অপরকে নিভৃত নিস্পৃহার  
আনন্দের ধ্রুপদী সুরে মানবতা গাও, স্মরণে রাখো ত্যাগের জাগ্রত অম্লান নবীন মহিমা  
মানবতার পতাকা উড়িয়ে নাও সর্বত্র, গড়ে তোলো শান্তির অবাধ নির্ঝরিত সমতল জগত
