সততার আলো জ্বেলে মানুষ গড়ে তুলে সোনার আশা নিয়ে সমাজের অন্ধকার ভেদ করে  
ভয়ভিত্তিক দ্বিধা দূরে রেখে সত্যের পথে অটল রই আমরা প্রতিশ্রুতিবদ্ধ ভ্রান্তির হাত ছেড়ে  
মিথ্যার জালে বন্দী হৃদয় খুঁজে পায় মুক্তির নতুন গান পালনীয় পদযাত্রা শুরু করে অহংকার ভুলে  
চোখের জলেও হাসি ভেসে উঠে সৎ পথে আমরা হাঁটতে চাই অন্তর থেকে  
আলোর দ্যুতি ছড়িয়ে যায় যখন অন্তরে সত্যের শিখা জ্বলে দেবদূতসম অমলশীলা চিরতরে  
নিয়তির হাতছানি মিটিং সৎ মন জুড়ে শান্তির তারকাবিহার অপ্রতিরোধ্য শক্তি একটি দিয়ে  
কপটতা দূর করে হৃদয় পায় ঈশ্বরের সান্নিধ্য নীরব আলো শান্তির রমরমে হৃদস্পন্দন  
যখন সত্য কথা বলে নীরব হাওয়াও গান গেয়ে ওঠে আনন্দের উল্লাসে মিশ্র  

সততার উৎস দুএ চোখে ঝলমল করে আশা পুনরায় জাগে অস্পষ্ট ভীতি হারিয়ে  
দাগমুক্ত মনের ক্ষণে ক্ষণে বিকশিত হয় ভালোবাসার হারানো রং স্বপ্নময় সুরভিত গন্ধে  
কালো ঢেউয়ে ভেসে আসা পাল নিয়ে চলে সৎ ধাপে মানুষ অটল সম্মানের খোঁজে  
মিথ্যা পাল্টাতে পারে কয়েকটি শব্দ অথচ হৃদয় ম্লান হয় চোখের জলে ছাপ পড়ে  
সত্যের বিনিময়ে পাওয়া যায় শান্তি-প্রকাশ অটুট মহিমা জীবনযাপন মিথ্যে বেলায় হৃদ্যতায় প্রজ্জ্বলিত  
মায়া-ঢেউ ভাঙিয়ে ওঠে যখন স্পষ্ট মুখে কথার ঢেউ বিশুদ্ধ তারুণ্যে জন্মে উৎসব  
অহঙ্কার ছোট পথ দিয়ে যায় ফিরে অমলিন হৃদয় নামি শানিত পদধ্বনি দেবময়  
সৎ পথে যখন পা রাখি দগ্ধ বৃত্তান্ত নিভে যায় অন্তরে নবজাগরণ সংগীতে  

নদীর স্রোতে ভাসে সৎ বাণী বেজে উঠে সতীর্থ সিংহাসন দীপ্ত মঞ্চে হাসি  
অস্পৃশ্য পবিত্র করে মন-আলোকিত করে জীবন ধারা গড়ে সাহসী প্রতিফলন স্মৃতিগুলোয় অক্ষরে  
জীবন-লড়াই কঠোর হলেও সৎ মনীষা দ্যুতি ছড়ায় অলসতা ধীরে ধীরে নিষ্কলঙ্ক শীর্ষে  
মিথ্যা বন্ধন ভেঙে যায় সত্যের শক্তি ভর করে জাগ্রত চেতনা আলোকে জীবন্ত  
করুণা-মধুর অনুভূতি মিশে যায় সৎ কর্মের মহিমায় চিরকাল খাঁটি আনন্দের আমোদে জীবনদানে  
ব্রহ্মাণ্ড জুড়ে বিরাজ করে সততার সুর স্নিগ্ধ স্পন্দন অমোঘ নীরোহী মঞ্জুর অন্তরে  
কাঠিন্যের অন্ধকারে সৎ প্রদীপ জ্বলে পথ দেখায় জীবন্ত আগত নির্ভুল কণ্ঠে আলোকে  
হৃদয়ে সত্যের বার্তা গাঁথা আশা জাগায় সবার মননে উাচ্চস্বরে শতভাগ সহানুভূতি জাগ্রত  

সততা অনন্য শক্তি, অমলিন আলো জ্বালায় অন্তরে দিনরাত সংশয় ছাড়িয়ে প্রকাশ জীবন  
মিথ্যার আর্তনাদে ভাসে দুনিয়া, সেই ধ্বনি নীরব করি সত্যের আনন্দে মিশে আমৃত  
সৎ পথে চলা কঠিন, তবু অগ্রসর জীবনের গতি নির্ধারণে অনুষঙ্গ বিশ্বাস দীর্ঘমেয়াদী  
সংকটের মুহূর্তে সত্যই হয় খাদ্য, মনকে করে সতেজ অচঞ্চল শক্তিমান প্রাণবন্ত দ্যুতিময়  
সততার প্রতিফলনে গড়ে ওঠে মানবতার ভবন দৃঢ় মূলস্তম্ভ অক্ষয় নির্ভরতার মূর্ত আমানুষী  
আসুন সবাই সৎ হই, মিথ্যা পাঁজরের মূল নিকেশ করি নির্মল আলোকিত অজেয়
