জীবন যেমন নদীর অবিরাম প্রবাহ অনিবার্য  
প্রতিটি তরঙ্গ আঁকে অচেনা ছবি সুরে  
সুখ দুঃখ মিশে একটা অচেনা সুর  
আশা জাগে মধুর নীরব অন্তহীন অভিব্যক্তিতে  

নবজন্মের মুহূর্তে হৃদয়ে নামে অপরূপ হিমঘন  
চোখ মেলেই দেখা মৃদু অচেনা আলো  
নিঃশব্দ কান্নায় মিশে প্রাণবন্ত জীবনের সুর  
প্রথম হাসিতে জাগে অনন্ত মৃদু আশা  

खेलাধুলায় বাঁধে মন মিশে অপরিমেয় আনন্দে  
খোজে দূর আকাশে বিরামহীন স্বপ্নের বহর  
ছোট্ট পায়ে ছুটে জীবনজুড়ে অলিকে বেরি  
নির্দোষ হাসিতে জাগে নবীন মুক্তি স্পন্দন  

কিশোর বয়সের সন্ধ্যায় উন্মত্ত জ্বলন্ত কোলাহল  
ব্যবহার শেখায় প্রথম প্রেমের উষ্ণ স্পর্শ  
প্রশ্নের খুঁটি পোঁতা প্রতিটি অন্তহীন সন্ধানে  
স্বপ্ন ভাঙে, গড়ে আরেক নতুন আশা  

যুবাবস্থায় দহন লাগে অজানা আকাঙ্ক্ষায় প্রলয়  
কর্মপথম ধরে স্বপ্নবীণার মসৃণ সুতোয় বাঁধা  
পথের ধূলিতে গড়ে উঠে দৃঢ় সংকল্প  
স্বপ্নের পাখা মেলে ওড়ার অদম্য প্রেরণা  

প্রাপ্তবয়স্ক জীবনে হাতে আসে গভীর দায়িত্বগ্রস্ততা  
সংসারের বন্ধনে বাঁধা দিন-রাতের নিস্তব্ধ নৈরাশ্য  
হাসি লুকিয়ে থাকে ক্লান্ত বুকে গভীরে  
তারপর হেসে ওঠে নতুন সঞ্চয়ের আলোয়  

ভালোবাসা আসে মিশে নীরব শব্দহীন আলাপে  
দুজনের হৃদয়ে রচনা হয় অমোঘ বন্ধন  
স্পর্শের মাঝে লেখা মধুর পুরনো কবিতা  
অহসাসে জেগে ওঠে অনিশ্চিত বিস্ময়ের সন্ধান  

প্রতিবিম্ব হয়ে ফিরে আসে ব্যথার রাগিণী  
কান্নার আড়ালে লুকানো থাকে শূন্যতার বাক্য  
স্মৃতির পাতায় জমে যায় বিষণ্ণতা তবুও  
বুকের অন্দরে জাগে নিভৃত অবামোদিত বাসনা  

নিজেকে খুঁজে পাই নীরব নির্জন অন্ধকারে  
চিন্তা ভাসে বিমূঢ় বিশাল অন্তহীন আকাশে  
প্রশ্ন জাগায় কেন এসেছি এই ভুবনে  
তারপর শোনি হৃদয়ের মন্থর নীরব সুর  

ভেঙে পড়ায় ঘুরে দাঁড়াতে শেখায় জীবন  
প্রত্যেক ধ্বংসের পর জাগে নব নির্মাণ  
অমানুষিক অন্ধকারেও জ্বলতে থাকে অনিন্দ্য দীপ  
অভিমান ভুলিয়ে দেয় নতুন স্বপ্ন বুনে  

পদচারণা থামে না অদম্য অনন্ত পথিকের  
প্রত্যেক ক্ষাপে সৃষ্টি হয় মজবুত চিহ্ন  
চ্যালেঞ্জ গ্রহণ করে অগ্রসর হয় মন  
অভাব পূরণে বাধ্য করে অনন্য ধারনা  

বয়সের ছাপ পড়ে সূক্ষ্ম কোমলে চেহারায়  
স্মৃতিগুলো ভাসে নিস্তব্ধ নীরব অগোনে সন্ধিক্ষণে  
চোখে জমে প্রেম হাসি ভরা অতীত  
কাঁধে বয়ে চলে দিনরাতের তিক্ত স্মৃতি  

জানতে চাই জীবনের গূঢ় পরিস্থিতির রহস্য  
সময়ের আঙিনায় গড়ে ওঠে অপরিসীম প্রজ্ঞাময়তা  
শিক্ষা নেয়া হয় রাজপথে, ব্যথার বইয়ে  
তারপর আবিষ্কার হয় অমলিন মনের কষ্ট  

অবস্থা যাই হোক হৃদয় রাখি নম্র  
ভুল স্বীকারে লুকিয়ে থাকে মুক্তির সোপান  
অহংকার মুছে গড়ি নতুন মধুর মেলবন্ধন  
শান্তি খুঁজে পাই অন্তর টানে টানে  

মৃত্যু এগিয়ে আসে নিস্তব্ধ অবধির যাত্রায়  
শেষের শেষেও মেলে ধরতে চাই আশা  
পুনর্জন্মের ছায়া জাগে নীরব আঁধারে শেষে  
মানবজীবনের অনন্ত সুরে নিষ্ছিদ্র আবর্ত হয়
